,Name,Photo,Flag,Club Logo
82, Brahim,https://cdn.sofifa.com/players/231/410/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/243/light_30.png
83, W. Saliba,https://cdn.sofifa.com/players/243/715/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/1819/light_30.png
84, B. Chilwell,https://cdn.sofifa.com/players/229/984/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/95/light_30.png
85, G. Donnarumma,https://cdn.sofifa.com/players/230/621/20_60.png,https://cdn.sofifa.com/flags/it.png,https://cdn.sofifa.com/teams/47/light_30.png
86, M. Boadu,https://cdn.sofifa.com/players/239/956/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/1906/light_30.png
87, V. Osimhen,https://cdn.sofifa.com/players/232/293/20_60.png,https://cdn.sofifa.com/flags/ng.png,https://cdn.sofifa.com/teams/65/light_30.png
88, Dani Olmo,https://cdn.sofifa.com/players/244/260/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/112172/light_30.png
89, D. Kulusevski,https://cdn.sofifa.com/players/247/394/20_60.png,https://cdn.sofifa.com/flags/se.png,https://cdn.sofifa.com/teams/50/light_30.png
90, Gabriel,https://cdn.sofifa.com/players/232/580/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/65/light_30.png
91, S. Bergwijn,https://cdn.sofifa.com/players/225/953/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/18/light_30.png
92, R. Nainggolan,https://cdn.sofifa.com/players/178/518/20_60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/1842/light_30.png
93, Y. Verschaeren,https://cdn.sofifa.com/players/246/419/20_60.png,https://cdn.sofifa.com/flags/be.png,https://cdn.sofifa.com/teams/229/light_30.png
94, G. Bale,https://cdn.sofifa.com/players/173/731/20_60.png,https://cdn.sofifa.com/flags/gb-wls.png,https://cdn.sofifa.com/teams/243/light_30.png
95, A. Hakimi,https://cdn.sofifa.com/players/235/212/20_60.png,https://cdn.sofifa.com/flags/ma.png,https://cdn.sofifa.com/teams/22/light_30.png
96, T. Alexander-Arnold,https://cdn.sofifa.com/players/231/281/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/9/light_30.png
97, D. Núñez,https://cdn.sofifa.com/players/253/072/20_60.png,https://cdn.sofifa.com/flags/uy.png,https://cdn.sofifa.com/teams/1861/light_30.png
98, O. Yokuşlu,https://cdn.sofifa.com/players/205/201/20_60.png,https://cdn.sofifa.com/flags/tr.png,https://cdn.sofifa.com/teams/450/light_30.png
99, S. Berge,https://cdn.sofifa.com/players/228/092/20_60.png,https://cdn.sofifa.com/flags/no.png,https://cdn.sofifa.com/teams/1794/light_30.png
100, Riqui Puig,https://cdn.sofifa.com/players/242/816/20_60.png,https://cdn.sofifa.com/flags/es.png,https://cdn.sofifa.com/teams/241/light_30.png
101, C. Hudson-Odoi,https://cdn.sofifa.com/players/240/740/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/5/light_30.png
102, T. Partey,https://cdn.sofifa.com/players/209/989/20_60.png,https://cdn.sofifa.com/flags/gh.png,https://cdn.sofifa.com/teams/240/light_30.png
103, Gabriel Martinelli,https://cdn.sofifa.com/players/251/566/20_60.png,https://cdn.sofifa.com/flags/br.png,https://cdn.sofifa.com/teams/1/light_30.png
104, I. Konaté,https://cdn.sofifa.com/players/237/678/20_60.png,https://cdn.sofifa.com/flags/fr.png,https://cdn.sofifa.com/teams/112172/light_30.png
105, R. Sessegnon,https://cdn.sofifa.com/players/235/883/20_60.png,https://cdn.sofifa.com/flags/gb-eng.png,https://cdn.sofifa.com/teams/18/light_30.png
106, G. Wijnaldum,https://cdn.sofifa.com/players/181/291/20_60.png,https://cdn.sofifa.com/flags/nl.png,https://cdn.sofifa.com/teams/9/light_30.png
